Timestamp,Device_ID,Data_Type,Value
2025-02-28 19:30:51.367,2,Position_J2,-33.94
2025-02-28 19:30:51.367,2,Override,30
2025-02-28 19:30:51.367,2,STEP_ENB,0
2025-02-28 19:30:51.367,2,F[6],[False]
2025-02-28 19:30:51.470,2,DI[10],False
2025-02-28 19:30:51.470,2,R[5],5.0
2025-02-28 19:30:51.470,2,OVC_J2,0.066
2025-02-28 19:30:51.470,2,Position_J2,-33.64
2025-02-28 19:30:51.470,2,Override,30
2025-02-28 19:30:51.470,2,STEP_ENB,0
2025-02-28 19:30:51.470,2,F[6],[False]
2025-02-28 19:30:51.575,2,DI[10],False
2025-02-28 19:30:51.575,2,R[5],5.0
2025-02-28 19:30:51.575,2,OVC_J2,0.066
2025-02-28 19:30:51.575,2,Position_J2,-33.34
2025-02-28 19:30:51.575,2,Override,30
2025-02-28 19:30:51.575,2,STEP_ENB,0
2025-02-28 19:30:51.575,2,F[6],[False]
2025-02-28 19:30:51.679,2,DI[10],False
2025-02-28 19:30:51.679,2,R[5],5.0
2025-02-28 19:30:51.679,2,OVC_J2,0.077
2025-02-28 19:30:51.679,2,Position_J2,-33.04
2025-02-28 19:30:51.679,2,Override,30
2025-02-28 19:30:51.679,2,STEP_ENB,0
2025-02-28 19:30:51.679,2,F[6],[False]
2025-02-28 19:30:51.782,2,DI[10],False
2025-02-28 19:30:51.782,2,R[5],5.0
2025-02-28 19:30:51.782,2,OVC_J2,0.077
2025-02-28 19:30:51.782,2,Position_J2,-32.75
2025-02-28 19:30:51.782,2,Override,30
2025-02-28 19:30:51.782,2,STEP_ENB,0
2025-02-28 19:30:51.782,2,F[6],[False]
2025-02-28 19:30:51.887,2,DI[10],False
2025-02-28 19:30:51.887,2,R[5],5.0
2025-02-28 19:30:51.887,2,OVC_J2,0.077
2025-02-28 19:30:51.887,2,Position_J2,-32.45
2025-02-28 19:30:51.887,2,Override,30
2025-02-28 19:30:51.887,2,STEP_ENB,0
2025-02-28 19:30:51.887,2,F[6],[False]
2025-02-28 19:30:51.991,2,DI[10],False
2025-02-28 19:30:51.991,2,R[5],5.0
2025-02-28 19:30:51.991,2,OVC_J2,0.077
2025-02-28 19:30:51.991,2,Position_J2,-32.16
2025-02-28 19:30:51.991,2,Override,30
2025-02-28 19:30:51.991,2,STEP_ENB,0
2025-02-28 19:30:51.991,2,F[6],[False]
2025-02-28 19:30:52.095,2,DI[10],False
2025-02-28 19:30:52.095,2,R[5],5.0
2025-02-28 19:30:52.095,2,OVC_J2,0.088
2025-02-28 19:30:52.095,2,Position_J2,-31.86
2025-02-28 19:30:52.095,2,Override,30
2025-02-28 19:30:52.095,2,STEP_ENB,0
2025-02-28 19:30:52.095,2,F[6],[False]
2025-02-28 19:30:52.199,2,DI[10],False
2025-02-28 19:30:52.199,2,R[5],5.0
2025-02-28 19:30:52.199,2,OVC_J2,0.088
2025-02-28 19:30:52.199,2,Position_J2,-31.57
2025-02-28 19:30:52.199,2,Override,25
2025-02-28 19:30:52.199,2,STEP_ENB,0
2025-02-28 19:30:52.199,2,F[6],[False]
2025-02-28 19:30:52.302,2,DI[10],False
2025-02-28 19:30:52.302,2,R[5],5.0
2025-02-28 19:30:52.302,2,OVC_J2,0.088
2025-02-28 19:30:52.302,2,Position_J2,-31.32
2025-02-28 19:30:52.302,2,Override,25
2025-02-28 19:30:52.302,2,STEP_ENB,0
2025-02-28 19:30:52.302,2,F[6],[False]
2025-02-28 19:30:52.407,2,DI[10],False
2025-02-28 19:30:52.407,2,R[5],5.0
2025-02-28 19:30:52.407,2,OVC_J2,0.099
2025-02-28 19:30:52.407,2,Position_J2,-31.08
2025-02-28 19:30:52.407,2,Override,20
2025-02-28 19:30:52.407,2,STEP_ENB,0
2025-02-28 19:30:52.407,2,F[6],[False]
2025-02-28 19:30:52.511,2,DI[10],False
2025-02-28 19:30:52.511,2,R[5],5.0
2025-02-28 19:30:52.511,2,OVC_J2,0.099
2025-02-28 19:30:52.511,2,Position_J2,-30.86
2025-02-28 19:30:52.511,2,Override,20
2025-02-28 19:30:52.511,2,STEP_ENB,0
2025-02-28 19:30:52.511,2,F[6],[False]
2025-02-28 19:30:52.615,2,DI[10],False
2025-02-28 19:30:52.615,2,R[5],5.0
2025-02-28 19:30:52.615,2,OVC_J2,0.099
2025-02-28 19:30:52.615,2,Position_J2,-30.66
2025-02-28 19:30:52.615,2,Override,20
2025-02-28 19:30:52.615,2,STEP_ENB,0
2025-02-28 19:30:52.615,2,F[6],[False]
2025-02-28 19:30:52.719,2,DI[10],False
2025-02-28 19:30:52.719,2,R[5],5.0
2025-02-28 19:30:52.719,2,OVC_J2,0.099
2025-02-28 19:30:52.719,2,Position_J2,-30.47
2025-02-28 19:30:52.719,2,Override,20
2025-02-28 19:30:52.719,2,STEP_ENB,0
2025-02-28 19:30:52.719,2,F[6],[False]
2025-02-28 19:30:52.822,2,DI[10],False
2025-02-28 19:30:52.822,2,R[5],5.0
2025-02-28 19:30:52.822,2,OVC_J2,0.099
2025-02-28 19:30:52.822,2,Position_J2,-30.28
2025-02-28 19:30:52.822,2,Override,20
2025-02-28 19:30:52.822,2,STEP_ENB,0
2025-02-28 19:30:52.822,2,F[6],[False]
2025-02-28 19:30:52.927,2,DI[10],False
2025-02-28 19:30:52.927,2,R[5],5.0
2025-02-28 19:30:52.927,2,OVC_J2,0.11
2025-02-28 19:30:52.927,2,Position_J2,-30.09
2025-02-28 19:30:52.927,2,Override,20
2025-02-28 19:30:52.927,2,STEP_ENB,0
2025-02-28 19:30:52.927,2,F[6],[False]
2025-02-28 19:30:53.031,2,DI[10],False
2025-02-28 19:30:53.031,2,R[5],5.0
2025-02-28 19:30:53.031,2,OVC_J2,0.11
2025-02-28 19:30:53.031,2,Position_J2,-29.9
2025-02-28 19:30:53.031,2,Override,20
2025-02-28 19:30:53.031,2,STEP_ENB,0
2025-02-28 19:30:53.031,2,F[6],[False]
2025-02-28 19:30:53.134,2,DI[10],False
2025-02-28 19:30:53.134,2,R[5],5.0
2025-02-28 19:30:53.134,2,OVC_J2,0.11
2025-02-28 19:30:53.134,2,Position_J2,-29.71
2025-02-28 19:30:53.134,2,Override,20
2025-02-28 19:30:53.134,2,STEP_ENB,0
2025-02-28 19:30:53.134,2,F[6],[False]
2025-02-28 19:30:53.239,2,DI[10],False
2025-02-28 19:30:53.239,2,R[5],5.0
2025-02-28 19:30:53.239,2,OVC_J2,0.11
2025-02-28 19:30:53.239,2,Position_J2,-29.52
2025-02-28 19:30:53.239,2,Override,20
2025-02-28 19:30:53.239,2,STEP_ENB,0
2025-02-28 19:30:53.239,2,F[6],[False]
2025-02-28 19:30:53.343,2,DI[10],False
2025-02-28 19:30:53.343,2,R[5],5.0
2025-02-28 19:30:53.343,2,OVC_J2,0.11
2025-02-28 19:30:53.343,2,Position_J2,-29.34
2025-02-28 19:30:53.343,2,Override,20
2025-02-28 19:30:53.343,2,STEP_ENB,0
2025-02-28 19:30:53.343,2,F[6],[False]
2025-02-28 19:30:53.447,2,DI[10],False
2025-02-28 19:30:53.447,2,R[5],5.0
2025-02-28 19:30:53.447,2,OVC_J2,0.11
2025-02-28 19:30:53.447,2,Position_J2,-29.15
2025-02-28 19:30:53.447,2,Override,20
2025-02-28 19:30:53.447,2,STEP_ENB,0
2025-02-28 19:30:53.447,2,F[6],[False]
2025-02-28 19:30:53.551,2,DI[10],False
2025-02-28 19:30:53.551,2,R[5],5.0
2025-02-28 19:30:53.551,2,OVC_J2,0.11
